Name,Grid Reference,Walk Link,Lat,Long,Ticked
Snailsden,SE 13198 03311,Snailsden,53.526302289550074,-1.8023846161568862,
Soles Hill *,SK 09794 52505,Soles Hill *,53.06969703567259,-1.8552814455999465,
Sough Top *,SK 13330 70896,Sough Top *,53.234935740636644,-1.8017495823015597,
South Nab,SE 15629 00319,South Nab,53.4993431214405,-1.7658622974260578,
Sponds Hill *,SJ 97001 80294,Sponds Hill *,53.31956719642329,-2.046480969174214,
Stanage Edge (White Path Moss),SK 25094 83017,Stanage Edge (White Path Moss),53.34346273291746,-1.6245494424253526,
The Edge (Kinder Scout Plateau),SK 07698 89370,The Edge (Kinder Scout Plateau),53.401102570004305,-1.8856857569270105,
The Roaches,SK 00107 63891,The Roaches,53.17213323205136,-1.9998549648856856,
Wardlow,SK 17851 73972,Wardlow,53.2624532107289,-1.7338451195907967,
West End Moor,SK 12878 93255,West End Moor,53.43592298420749,-1.807620420840368,
West Nab,SE 07644 08792,West Nab,53.57567613618495,-1.8860320012205967,
Wetton Low *,SK 11223 54743,Wetton Low *,53.08978662894985,-1.8338770962530553,
Wheston *,SK 13841 76565,Wheston *,53.2858797755463,-1.7938492643133197,
White Edge,SK 26378 75855,White Edge,53.27902506893709,-1.6058567330229192,Y
Whitwell Moor,SK 24972 97237,Whitwell Moor,53.47128286358515,-1.6252610749225844,
Wibben Hill *,SK 18374 52247,Wibben Hill *,53.06715355523068,-1.727244266333165,
Winhill Pike (Win Hill),SK 18678 85093,Winhill Pike (Win Hill),53.36238694708201,-1.7207962294398254,
Wolfscote Hill,SK 13705 58323,Wolfscote Hill,53.121909646670225,-1.7966658082700453,
Wormhill *,SK 10721 75621,Wormhill *,53.277466045422024,-1.8406798602306362,
